,idaviso,idcaracteristica,count
1098,21646828,1000118,10
1099,21646828,1000092,10
1102,21675804,1000116,4
1103,21675804,1000110,4
1105,21675804,1000068,4
1107,21675804,1000109,4
1108,21685656,1000102,6
1111,21685656,1000027,6
1112,21685656,1000111,6
1113,21685656,1000100,6
1115,21685656,1000090,6
1117,21685656,1000118,6
1129,21686882,1000116,2
1131,21686882,1000111,2
1137,48389612,1000102,2
1139,48389612,1000111,2
1141,48605444,1000102,2
1142,48605444,1000078,2
1148,21695064,1000110,4
1150,21695064,1000079,4
1151,21695064,2000142,4
1152,21695064,1000090,4
1153,21700924,1000102,3
1154,21700924,1000111,3
1155,21700924,1000101,3
1161,48354287,1000109,1
1162,48584729,1000114,1
1164,43203204,1000116,1
1169,21707036,1000102,6
1171,21707036,1000027,6
1173,21707036,1000110,6
1175,21707036,1000100,6
1176,21707036,2000141,6
1177,21707036,1000117,6
1180,21717833,1000111,1
1192,21721384,1000111,1
1194,21726317,1000114,2
1195,21726317,2000148,2
1196,21726328,1000114,2
1197,21726328,2000148,2
1199,21746128,1000116,3
1200,21746128,1000110,3
1201,21746128,1000100,3
1206,48014946,1000111,2
1207,48014946,1000092,2
1209,21754336,1000038,1
1216,21766114,1000110,3
1217,21766114,1000111,3
1222,21766114,1000090,3
1223,21771143,1000114,2
1224,21771143,2000148,2
1229,48604338,1000111,2
1231,21771313,1000102,13
1232,48604338,2000142,2
1233,21771313,1000116,13
1235,21771313,1000110,13
1237,21771313,1000078,13
1238,21771313,1000100,13
1239,21771313,1000079,13
1240,21771313,1000101,13
1241,21771313,1000068,13
1242,21771313,2000141,13
1243,21771313,1000090,13
1244,21771313,1000106,13
1245,21771313,1000118,13
1246,21771313,1000109,13
1249,48248812,1000111,1
1250,46146321,1000102,5
1251,46146321,1000114,5
1252,46146321,1000004,5
1253,46146321,1000110,5
1254,46146321,1000111,5
1259,48605446,1000079,2
1260,48605446,1000090,2
1261,21791033,1000102,4
1262,21791033,1000027,4
1263,21791033,1000111,4
1264,21791033,1000100,4
1265,21815961,1000102,9
1266,21815961,1000110,9
1267,21815961,1000078,9
1268,21815961,1000100,9
