,idaviso,dia,visits,impressions,leads
322,45145154,2021-10-26,2.0,1.0,0.0
323,45145154,2021-10-27,0.0,2.0,0.0
324,45145154,2021-10-28,0.0,2.0,0.0
325,47498796,2021-09-29,0.0,3.0,0.0
326,47498796,2021-09-30,0.0,2.0,0.0
327,47498796,2021-10-01,0.0,1.0,0.0
328,47498796,2021-10-02,0.0,2.0,0.0
329,47498796,2021-10-03,0.0,1.0,0.0
330,47498796,2021-10-04,0.0,2.0,0.0
331,47498796,2021-10-05,0.0,2.0,0.0
332,47498796,2021-10-06,0.0,2.0,0.0
333,47498796,2021-10-07,0.0,3.0,0.0
334,47498796,2021-10-08,0.0,5.0,0.0
335,47498796,2021-10-09,0.0,2.0,0.0
336,47498796,2021-10-10,0.0,6.0,0.0
337,47498796,2021-10-12,0.0,3.0,0.0
338,47498796,2021-10-14,0.0,1.0,0.0
339,47498796,2021-10-16,0.0,2.0,0.0
340,47498796,2021-10-17,0.0,3.0,0.0
341,47498796,2021-10-18,0.0,5.0,0.0
342,47498796,2021-10-19,0.0,1.0,0.0
343,47498796,2021-10-20,0.0,3.0,0.0
344,47498796,2021-10-21,0.0,3.0,0.0
345,47498796,2021-10-22,0.0,6.0,0.0
346,47498796,2021-10-23,0.0,8.0,0.0
347,47498796,2021-10-24,0.0,2.0,0.0
348,47498796,2021-10-25,0.0,3.0,0.0
349,47498796,2021-10-26,0.0,1.0,0.0
350,47498796,2021-10-27,0.0,10.0,0.0
351,47498796,2021-10-28,0.0,1.0,0.0
352,47498796,2021-10-29,0.0,1.0,0.0
353,47969546,2021-09-29,0.0,9.0,0.0
354,47969546,2021-09-30,0.0,18.0,0.0
355,47969546,2021-10-01,0.0,17.0,0.0
356,47969546,2021-10-02,0.0,5.0,0.0
357,47969546,2021-10-03,0.0,9.0,0.0
358,47969546,2021-10-04,0.0,10.0,0.0
359,47969546,2021-10-05,0.0,4.0,0.0
360,47969546,2021-10-07,0.0,4.0,0.0
361,47969546,2021-10-08,0.0,3.0,0.0
362,47969546,2021-10-09,0.0,5.0,0.0
363,47969546,2021-10-10,0.0,5.0,0.0
364,47969546,2021-10-11,0.0,3.0,0.0
365,47969546,2021-10-12,0.0,9.0,0.0
366,47969546,2021-10-13,0.0,11.0,0.0
367,47969546,2021-10-14,0.0,4.0,0.0
368,47969546,2021-10-15,0.0,4.0,0.0
369,47969546,2021-10-16,0.0,5.0,0.0
370,47969546,2021-10-17,0.0,4.0,0.0
371,47969546,2021-10-18,0.0,3.0,0.0
372,47969546,2021-10-19,0.0,7.0,0.0
373,47969546,2021-10-20,0.0,2.0,0.0
374,47969546,2021-10-21,0.0,6.0,0.0
375,47969546,2021-10-22,0.0,2.0,0.0
376,47969546,2021-10-23,0.0,6.0,0.0
377,47969546,2021-10-24,0.0,2.0,0.0
378,47969546,2021-10-25,0.0,2.0,0.0
379,45567697,2021-09-29,0.0,5.0,0.0
380,45567697,2021-09-30,0.0,3.0,0.0
381,45567697,2021-10-01,0.0,4.0,0.0
382,45567697,2021-10-02,0.0,8.0,0.0
383,45567697,2021-10-03,0.0,6.0,0.0
384,45567697,2021-10-04,1.0,8.0,0.0
385,45567697,2021-10-05,0.0,11.0,0.0
386,45567697,2021-10-06,0.0,5.0,0.0
387,45567697,2021-10-07,0.0,7.0,0.0
388,45567697,2021-10-08,1.0,8.0,0.0
389,45567697,2021-10-09,0.0,19.0,0.0
390,45567697,2021-10-10,1.0,8.0,0.0
391,45567697,2021-10-11,0.0,5.0,0.0
392,45567697,2021-10-12,0.0,7.0,0.0
393,45567697,2021-10-13,0.0,5.0,0.0
394,45567697,2021-10-14,0.0,6.0,0.0
395,45567697,2021-10-15,0.0,5.0,0.0
396,45567697,2021-10-16,0.0,3.0,0.0
397,45567697,2021-10-17,1.0,3.0,0.0
